Afghanistan;Kabul;AFN;?;ps;pus;
Åland Islands;Mariehamn;EUR;€;uz;uzb;
Albania;Tirana;ALL;L;tk;tuk;
Algeria;Algiers;DZD;?.?;sv;swe;
American Samoa;Pago Pago;USD;$;sq;sqi;
Andorra;Andorra la Vella;EUR;€;ar;ara;
Angola;Luanda;AOA;Kz;en;eng;
Anguilla;The Valley;XCD;$;sm;smo;
Antarctica;;AUD;$;ca;cat;
Antigua and Barbuda;Saint John's;GBP;£;pt;por;
Argentina;Buenos Aires;XCD;$;en;eng;
Armenia;Yerevan;ARS;$;en;eng;
Aruba;Oranjestad;AMD;;ru;rus;
Australia;Canberra;AWG;ƒ;en;eng;
Austria;Vienna;AUD;$;es;spa;
Azerbaijan;Baku;EUR;€;gn;grn;
Bahamas;Nassau;AZN;;hy;hye;
Bahrain;Manama;BSD;$;ru;rus;
Bangladesh;Dhaka;BHD;.?.?;nl;nld;
Barbados;Bridgetown;BDT;?;pa;pan;
Belarus;Minsk;BBD;$;en;eng;
Belgium;Brussels;BYN;Br;de;deu;
Belize;Belmopan;BYR;Br;az;aze;
Benin;Porto-Novo;EUR;€;en;eng;
Bermuda;Hamilton;BZD;$;ar;ara;
Bhutan;Thimphu;XOF;Fr;bn;ben;
Bolivia (Plurinational State of);Sucre;BMD;$;en;eng;
Bonaire, Sint Eustatius and Saba;Kralendijk;BTN;Nu.;be;bel;
Bosnia and Herzegovina;Sarajevo;INR;?;ru;rus;
Botswana;Gaborone;BOB;Bs.;nl;nld;
Bouvet Island;;USD;$;fr;fra;
Brazil;Brasília;BAM;;de;deu;
British Indian Ocean Territory;Diego Garcia;BWP;P;en;eng;
United States Minor Outlying Islands;;NOK;kr;es;spa;
Virgin Islands (British);Road Town;BRL;R$;fr;fra;
Virgin Islands (U.S.);Charlotte Amalie;USD;$;en;eng;
Brunei Darussalam;Bandar Seri Begawan;USD;$;dz;dzo;
Bulgaria;Sofia;;$;es;spa;
Burkina Faso;Ouagadougou;USD;$;ay;aym;
Burundi;Bujumbura;USD;$;qu;que;
Cambodia;Phnom Penh;BND;$;nl;nld;
Cameroon;Yaoundé;SGD;$;bs;bos;
Canada;Ottawa;BGN;??;hr;hrv;
Cabo Verde;Praia;XOF;Fr;sr;srp;
Cayman Islands;George Town;BIF;Fr;en;eng;
Central African Republic;Bangui;KHR;?;tn;tsn;
Chad;N'Djamena;USD;$;no;nor;
Chile;Santiago;XAF;Fr;nb;nob;
China;Beijing;CAD;$;nn;nno;
Christmas Island;Flying Fish Cove;CVE;Esc;pt;por;
Cocos (Keeling) Islands;West Island;KYD;$;en;eng;
Colombia;Bogotá;XAF;Fr;en;eng;
Comoros;Moroni;XAF;Fr;en;eng;
Congo;Brazzaville;CLP;$;en;eng;
Congo (Democratic Republic of the);Kinshasa;CNY;¥;ms;msa;
Cook Islands;Avarua;AUD;$;bg;bul;
Costa Rica;San José;AUD;$;fr;fra;
Croatia;Zagreb;COP;$;ff;ful;
Cuba;Havana;KMF;Fr;fr;fra;
Curaçao;Willemstad;XAF;Fr;rn;run;
Cyprus;Nicosia;CDF;Fr;km;khm;
Czech Republic;Prague;NZD;$;en;eng;
Denmark;Copenhagen;CKD;$;fr;fra;
Djibouti;Djibouti;CRC;?;en;eng;
Dominica;Roseau;HRK;kn;fr;fra;
Dominican Republic;Santo Domingo;CUC;$;pt;por;
Ecuador;Quito;CUP;$;en;eng;
Egypt;Cairo;ANG;ƒ;fr;fra;
El Salvador;San Salvador;EUR;€;sg;sag;
Equatorial Guinea;Malabo;CZK;K?;fr;fra;
Eritrea;Asmara;DKK;kr;ar;ara;
Estonia;Tallinn;DJF;Fr;es;spa;
Ethiopia;Addis Ababa;XCD;$;zh;zho;
Falkland Islands (Malvinas);Stanley;DOP;$;en;eng;
Faroe Islands;Tórshavn;USD;$;en;eng;
Fiji;Suva;EGP;£;es;spa;
Finland;Helsinki;USD;$;ar;ara;
France;Paris;XAF;Fr;fr;fra;
French Guiana;Cayenne;ERN;Nfk;fr;fra;
French Polynesia;Papeet?;EUR;€;ln;lin;
French Southern Territories;Port-aux-Français;ETB;Br;fr;fra;
Gabon;Libreville;FKP;£;ln;lin;
Gambia;Banjul;DKK;kr;kg;kon;
Georgia;Tbilisi;(none);kr;sw;swa;
Germany;Berlin;FJD;$;lu;lub;
Ghana;Accra;EUR;€;en;eng;
Gibraltar;Gibraltar;EUR;€;es;spa;
Greece;Athens;EUR;€;hr;hrv;
Greenland;Nuuk;XPF;Fr;es;spa;
Grenada;St. George's;EUR;€;nl;nld;
Guadeloupe;Basse-Terre;XAF;Fr;pa;pan;
Guam;Hagåtña;GMD;D;en;eng;
Guatemala;Guatemala City;GEL;?;el;ell;
Guernsey;St. Peter Port;EUR;€;tr;tur;
Guinea;Conakry;GHS;?;hy;hye;
Guinea-Bissau;Bissau;GIP;£;cs;ces;
Guyana;Georgetown;EUR;€;sk;slk;
Haiti;Port-au-Prince;DKK;kr;da;dan;
Heard Island and McDonald Islands;;XCD;$;fr;fra;
Holy See;Rome;EUR;€;ar;ara;
Honduras;Tegucigalpa;USD;$;en;eng;
Hong Kong;City of Victoria;GTQ;Q;es;spa;
Hungary;Budapest;GBP;£;es;spa;
Iceland;Reykjavík;(none);£;ar;ara;
India;New Delhi;GNF;Fr;es;spa;
Indonesia;Jakarta;XOF;Fr;es;spa;
Côte d'Ivoire;Yamoussoukro;GYD;$;fr;fra;
Iran (Islamic Republic of);Tehran;HTG;G;ti;tir;
Iraq;Baghdad;AUD;$;ar;ara;
Ireland;Dublin;EUR;€;en;eng;
Isle of Man;Douglas;HNL;L;et;est;
Israel;Jerusalem;HKD;$;am;amh;
Italy;Rome;HUF;Ft;en;eng;
Jamaica;Kingston;ISK;kr;fo;fao;
Japan;Tokyo;INR;?;en;eng;
Jersey;Saint Helier;IDR;Rp;fj;fij;
Jordan;Amman;XOF;Fr;hi;hin;
Kazakhstan;Astana;IRR;?;ur;urd;
Kenya;Nairobi;IQD;?.?;fi;fin;
Kiribati;South Tarawa;EUR;€;sv;swe;
Kuwait;Kuwait City;GBP;£;fr;fra;
Kyrgyzstan;Bishkek;IMP[G];£;fr;fra;
Lao People's Democratic Republic;Vientiane;ILS;?;fr;fra;
Latvia;Riga;EUR;€;fr;fra;
Lebanon;Beirut;JMD;$;fr;fra;
Lesotho;Maseru;JPY;¥;en;eng;
Liberia;Monrovia;GBP;£;ka;kat;
Libya;Tripoli;JEP[G];£;de;deu;
Liechtenstein;Vaduz;JOD;?.?;en;eng;
Lithuania;Vilnius;KZT;;en;eng;
Luxembourg;Luxembourg;KES;Sh;el;ell;
Macao;;AUD;$;kl;kal;
Macedonia (the former Yugoslav Republic of);Skopje;(none);$;en;eng;
Madagascar;Antananarivo;KWD;?.?;fr;fra;
Malawi;Lilongwe;KGS;?;en;eng;
Malaysia;Kuala Lumpur;LAK;?;ch;cha;
Maldives;Malé;EUR;€;es;spa;
Mali;Bamako;LBP;?.?;es;spa;
Malta;Valletta;LSL;L;en;eng;
Marshall Islands;Majuro;ZAR;R;fr;fra;
Martinique;Fort-de-France;LRD;$;fr;fra;
Mauritania;Nouakchott;LYD;?.?;ff;ful;
Mauritius;Port Louis;CHF;Fr;pt;por;
Mayotte;Mamoudzou;EUR;€;en;eng;
Mexico;Mexico City;EUR;€;fr;fra;
Micronesia (Federated States of);Palikir;MOP;P;ht;hat;
Moldova (Republic of);Chi?in?u;MKD;???;en;eng;
Monaco;Monaco;MGA;Ar;la;lat;
