ilall;Kabul;few clouds;Sale;255;
flat1;Kabul;few clouds;Sale;11;
hotel2;Mariehamn;few clouds;Sale;521;
hotel4;Mariehamn;few clouds;Both;993;
hotel3;Mariehamn;few clouds;Sale;716;
hotel3;Tirana;clear sky;Rental;577;Recommended;
hotel1;Tirana;clear sky;Rental;915;Recommended;
villa0;Tirana;clear sky;Both;552;
hotel0;Algiers;scattered clouds;Both;385;
hotel8;Algiers;scattered clouds;Rental;756;Recommended;
flat1;Luanda;clear sky;Sale;463;
villa2;The Valley;scattered clouds;Rental;605;Recommended;
villa1;Saint John's;NOT_FOUND;Sale;637;
flat7;Saint John's;NOT_FOUND;Both;909;
hotel0;Buenos Aires;scattered clouds;Both;354;
villa3;Oranjestad;scattered clouds;Rental;566;Recommended;
flat8;Vienna;light intensity shower rain;Both;700;
hotel4;Vienna;light intensity shower rain;Rental;75;
flat5;Baku;clear sky;Rental;649;Recommended;
villa3;Nassau;broken clouds;Rental;801;Recommended;
villa4;Dhaka;light rain;Sale;941;
flat7;Dhaka;light rain;Both;145;
flat6;Bridgetown;fog;Rental;383;Recommended;
flat7;Brussels;clear sky;Sale;446;
hotel3;Belmopan;light rain;Rental;400;
flat3;Belmopan;light rain;Both;794;
hotel5;Porto-Novo;scattered clouds;Both;955;
villa7;Porto-Novo;scattered clouds;Sale;407;
flat2;Thimphu;light rain;Rental;716;
villa3;Sucre;clear sky;Both;700;
flat2;Sucre;clear sky;Rental;372;Recommended;
hotel2;Sucre;clear sky;Both;633;
hotel4;Sarajevo;scattered clouds;Both;517;
flat3;Sarajevo;scattered clouds;Both;74;
flat3;Sarajevo;scattered clouds;Both;844;
villa4;Gaborone;clear sky;Sale;105;
flat7;Bras?lia;NOT_FOUND;Sale;468;
villa6;Diego Garcia;NOT_FOUND;Sale;687;
villa2;Diego Garcia;NOT_FOUND;Both;408;
villa1;Road Town;scattered clouds;Rental;457;Recommended;
flat7;Road Town;scattered clouds;Sale;597;
flat8;Bandar Seri Begawan;broken clouds;Rental;401;Recommended;
hotel6;Bandar Seri Begawan;broken clouds;Sale;994;
