Kabul;ilall;Afghanistan;AFN;?;ps;pus;Avenue y;Sale;255;02018-07-08;205634;
Kabul;flat1;Afghanistan;AFN;?;ps;pus;Avenue y;Sale;11;02018-07-08;948758;
Mariehamn;hotel2;Åland Islands;EUR;€;uz;uzb;Zone z;Sale;521;02018-07-11;847733;
Mariehamn;hotel4;Åland Islands;EUR;€;uz;uzb;street x;Both;993;02018-07-14;886922;
Mariehamn;hotel3;Åland Islands;EUR;€;uz;uzb;street x;Sale;716;02018-07-15;60014;
Tirana;hotel3;Albania;ALL;L;tk;tuk;street x;Rental;577;02018-07-18;586481;
Tirana;hotel1;Albania;ALL;L;tk;tuk;street x;Rental;915;02018-07-20;587218;
Tirana;villa0;Albania;ALL;L;tk;tuk;street x;Both;552;02018-07-23;684146;
Algiers;hotel0;Algeria;DZD;?.?;sv;swe;Avenue y;Both;385;02018-07-24;277623;
Algiers;hotel8;Algeria;DZD;?.?;sv;swe;street x;Rental;756;02018-07-27;408065;
Luanda;flat1;Angola;AOA;Kz;en;eng;street x;Sale;463;02018-07-31;862682;
The Valley;villa2;Anguilla;XCD;$;sm;smo;street x;Rental;605;02018-08-01;894430;
Saint John's;villa1;Antigua and Barbuda;GBP;£;pt;por;street x;Sale;637;02018-08-04;288720;
Saint John's;flat7;Antigua and Barbuda;GBP;£;pt;por;street x;Both;909;02018-08-08;805593;
Buenos Aires;hotel0;Argentina;XCD;$;en;eng;Avenue y;Both;354;02018-08-11;155189;
Oranjestad;villa3;Aruba;AMD;;ru;rus;Zone z;Rental;566;02018-08-12;542002;
Vienna;flat8;Austria;AUD;$;es;spa;Avenue y;Both;700;02018-08-13;20336;
Vienna;hotel4;Austria;AUD;$;es;spa;Avenue y;Rental;75;02018-08-13;16077;
Baku;flat5;Azerbaijan;EUR;€;gn;grn;Avenue y;Rental;649;02018-08-13;280467;
Nassau;villa3;Bahamas;AZN;;hy;hye;Zone z;Rental;801;02018-08-14;696203;
Dhaka;villa4;Bangladesh;BHD;.?.?;nl;nld;Avenue y;Sale;941;02018-08-17;75054;
Dhaka;flat7;Bangladesh;BHD;.?.?;nl;nld;street x;Both;145;02018-08-21;273661;
Bridgetown;flat6;Barbados;BDT;?;pa;pan;street x;Rental;383;02018-08-21;340423;
Brussels;flat7;Belgium;BYN;Br;de;deu;Avenue y;Sale;446;02018-08-25;473929;
Belmopan;hotel3;Belize;BYR;Br;az;aze;Zone z;Rental;400;02018-08-28;358310;
Belmopan;flat3;Belize;BYR;Br;az;aze;Avenue y;Both;794;02018-08-28;163579;
Porto-Novo;hotel5;Benin;EUR;€;en;eng;Avenue y;Both;955;02018-08-31;348133;
Porto-Novo;villa7;Benin;EUR;€;en;eng;Zone z;Sale;407;02018-09-01;319972;
Thimphu;flat2;Bhutan;XOF;Fr;bn;ben;Zone z;Rental;716;02018-09-02;171061;
Sucre;villa3;Bolivia (Plurinational State of);BMD;$;en;eng;Avenue y;Both;700;02018-09-02;153738;
Sucre;flat2;Bolivia (Plurinational State of);BMD;$;en;eng;Avenue y;Rental;372;02018-09-05;501219;
Sucre;hotel2;Bolivia (Plurinational State of);BMD;$;en;eng;Zone z;Both;633;02018-09-05;998672;
Sarajevo;hotel4;Bosnia and Herzegovina;INR;?;ru;rus;Avenue y;Both;517;02018-09-08;193617;
Sarajevo;flat3;Bosnia and Herzegovina;INR;?;ru;rus;Zone z;Both;74;02018-09-09;781154;
Sarajevo;flat3;Bosnia and Herzegovina;INR;?;ru;rus;street x;Both;844;02018-09-11;147920;
Gaborone;villa4;Botswana;BOB;Bs.;nl;nld;Zone z;Sale;105;02018-09-12;542523;
Brasília;flat7;Brazil;BAM;;de;deu;Zone z;Sale;468;02018-09-15;579274;
Diego Garcia;villa6;British Indian Ocean Territory;BWP;P;en;eng;Zone z;Sale;687;02018-09-17;834251;
Diego Garcia;villa2;British Indian Ocean Territory;BWP;P;en;eng;street x;Both;408;02018-09-21;238661;
Road Town;villa1;Virgin Islands (British);BRL;R$;fr;fra;Avenue y;Rental;457;02018-09-21;368719;
